Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
59,16,2,127,3,Some Random Commen with Id 59
60,16,2,153,9,Some Random Commen with Id 60
61,16,2,34,7,Some Random Commen with Id 61
62,16,2,155,6,Some Random Commen with Id 62
63,17,0,63,4,Some Random Commen with Id 63
64,17,0,149,0,Some Random Commen with Id 64
65,17,0,129,9,Some Random Commen with Id 65
66,17,0,139,5,Some Random Commen with Id 66
67,17,0,140,7,Some Random Commen with Id 67
68,17,0,145,6,Some Random Commen with Id 68
69,18,0,183,6,Some Random Commen with Id 69
70,18,0,121,7,Some Random Commen with Id 70
71,18,0,5,3,Some Random Commen with Id 71
72,18,0,28,7,Some Random Commen with Id 72
73,18,0,186,2,Some Random Commen with Id 73
74,18,0,162,2,Some Random Commen with Id 74
75,18,0,50,1,Some Random Commen with Id 75
76,18,0,111,6,Some Random Commen with Id 76
77,18,0,193,9,Some Random Commen with Id 77
78,19,8,133,9,Some Random Commen with Id 78
79,20,2,176,9,Some Random Commen with Id 79
80,20,2,157,1,Some Random Commen with Id 80
81,21,4,63,1,Some Random Commen with Id 81
82,21,4,69,7,Some Random Commen with Id 82
83,21,4,87,5,Some Random Commen with Id 83
84,21,4,138,1,Some Random Commen with Id 84
85,21,4,46,1,Some Random Commen with Id 85
86,21,4,105,8,Some Random Commen with Id 86
87,21,4,29,0,Some Random Commen with Id 87
88,21,4,173,0,Some Random Commen with Id 88
89,21,4,25,3,Some Random Commen with Id 89
90,22,8,100,5,Some Random Commen with Id 90
91,22,8,88,0,Some Random Commen with Id 91
92,22,8,6,2,Some Random Commen with Id 92
93,22,8,57,7,Some Random Commen with Id 93
94,22,8,27,5,Some Random Commen with Id 94
95,22,8,184,8,Some Random Commen with Id 95
96,23,6,105,7,Some Random Commen with Id 96
97,23,6,3,4,Some Random Commen with Id 97
98,23,6,173,9,Some Random Commen with Id 98
99,23,6,25,4,Some Random Commen with Id 99
100,23,6,14,0,Some Random Commen with Id 100
101,23,6,38,7,Some Random Commen with Id 101
102,24,3,93,7,Some Random Commen with Id 102
103,24,3,146,3,Some Random Commen with Id 103
104,24,3,51,2,Some Random Commen with Id 104
105,24,3,52,7,Some Random Commen with Id 105
106,24,3,24,0,Some Random Commen with Id 106
107,24,3,123,6,Some Random Commen with Id 107
108,24,3,64,4,Some Random Commen with Id 108
109,25,7,161,3,Some Random Commen with Id 109
110,25,7,86,6,Some Random Commen with Id 110
111,26,4,10,2,Some Random Commen with Id 111
112,26,4,10,6,Some Random Commen with Id 112
113,26,4,149,4,Some Random Commen with Id 113
114,26,4,57,3,Some Random Commen with Id 114
115,26,4,173,4,Some Random Commen with Id 115
116,26,4,72,1,Some Random Commen with Id 116
117,27,2,101,5,Some Random Commen with Id 117
118,27,2,147,1,Some Random Commen with Id 118
119,27,2,129,1,Some Random Commen with Id 119
120,27,2,113,4,Some Random Commen with Id 120
121,27,2,9,8,Some Random Commen with Id 121
122,27,2,52,8,Some Random Commen with Id 122
123,27,2,188,5,Some Random Commen with Id 123
124,27,2,177,3,Some Random Commen with Id 124
125,27,2,135,0,Some Random Commen with Id 125
126,28,5,92,6,Some Random Commen with Id 126
127,28,5,163,8,Some Random Commen with Id 127
128,28,5,49,7,Some Random Commen with Id 128
129,28,5,113,2,Some Random Commen with Id 129
130,29,7,137,2,Some Random Commen with Id 130
131,29,7,69,6,Some Random Commen with Id 131
132,29,7,11,1,Some Random Commen with Id 132
133,29,7,93,2,Some Random Commen with Id 133
134,29,7,184,3,Some Random Commen with Id 134
135,29,7,194,0,Some Random Commen with Id 135
136,30,7,44,6,Some Random Commen with Id 136
137,30,7,158,0,Some Random Commen with Id 137
138,30,7,193,9,Some Random Commen with Id 138
139,30,7,74,0,Some Random Commen with Id 139
140,31,3,75,0,Some Random Commen with Id 140
141,32,4,136,6,Some Random Commen with Id 141
142,32,4,152,1,Some Random Commen with Id 142
143,32,4,156,2,Some Random Commen with Id 143
144,32,4,161,3,Some Random Commen with Id 144
145,32,4,191,3,Some Random Commen with Id 145
146,33,6,171,9,Some Random Commen with Id 146
147,33,6,143,5,Some Random Commen with Id 147
148,33,6,131,9,Some Random Commen with Id 148
149,33,6,195,3,Some Random Commen with Id 149
150,33,6,40,0,Some Random Commen with Id 150
151,35,7,108,2,Some Random Commen with Id 151
152,35,7,34,8,Some Random Commen with Id 152
153,35,7,92,1,Some Random Commen with Id 153
154,35,7,135,3,Some Random Commen with Id 154
155,35,7,182,4,Some Random Commen with Id 155
156,36,0,83,1,Some Random Commen with Id 156
157,36,0,162,6,Some Random Commen with Id 157
158,36,0,103,8,Some Random Commen with Id 158
159,38,3,175,7,Some Random Commen with Id 159
160,38,3,16,3,Some Random Commen with Id 160
161,38,3,179,4,Some Random Commen with Id 161
162,38,3,78,5,Some Random Commen with Id 162
163,39,3,50,7,Some Random Commen with Id 163
164,39,3,28,5,Some Random Commen with Id 164
165,39,3,158,2,Some Random Commen with Id 165
166,39,3,72,4,Some Random Commen with Id 166
